Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
2021.76687,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.76688,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.76689,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.7669,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.76691,,,F,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,2011
2021.76692,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.76693,,,U,1989,True,N,2011.81182,1560.04541,06/27/89,89-M24.1,1989
2021.76694,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76695,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76696,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76697,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76698,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76699,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.767,,,U,1989,True,N,940.2577,970.269,06/27/89,89-O25.2,1989
2021.76701,,,U,1989,True,N,940.25733,2021.76345,06/27/89,89-N29.3,1989
2021.76702,,,U,1989,True,N,940.25733,2021.76345,06/27/89,89-N29.3,1989
2021.76703,,,U,1989,True,N,940.25733,2021.76345,06/27/89,89-N29.3,1989
2021.76704,,,U,1989,True,N,940.25733,2021.76345,06/27/89,89-N29.3,1989
2021.76705,,,U,1989,True,N,940.25733,2021.76345,06/27/89,89-N29.3,1989
2021.76706,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76707,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76708,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76709,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.7671,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76711,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76712,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76713,,,U,1989,True,N,2011.81191,2021.76343,06/27/89,89-N31.1,1989
2021.76714,,,U,1989,True,N,2011.8161,1560.0308,06/27/89,89-M31.2,1989
2021.76715,,,U,1989,True,N,2011.8161,1560.0308,06/27/89,89-M31.2,1989
